Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: RIOGALEAO;;;;;;;;;;
Periodo Solicitado de 01/09/2019 até 30/09/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
RJAEG-TR1--01;03/09/2019;4;Liquida;0;12394,2;0;1701;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;5;Liquida;0;12524,4;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;6;Liquida;0;12831;0;1818,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;7;Liquida;0;12369;0;1440,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;8;Liquida;0;12457,2;0;1377,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;9;Liquida;0;12818,4;0;1499,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;10;Liquida;0;13347,6;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;11;Liquida;0;13582,8;0;1869;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;12;Liquida;0;13591,2;0;1814,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;13;Liquida;0;13944;0;1932;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;14;Liquida;0;14120,4;0;2041,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;15;Liquida;0;13603,8;0;1835,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;16;Liquida;0;13738,2;0;1898,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;17;Liquida;0;13650;0;1898,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;18;Liquida;0;14019,6;0;2230,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;19;Liquida;0;14364;0;2541;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;20;Liquida;0;14128,8;0;2486,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;21;Liquida;0;14082,6;0;2478;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;22;Liquida;0;13717,2;0;2301,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;23;Liquida;0;13314;0;2062,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;24;Liquida;0;13011,6;0;1932;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;1;Liquida;0;12726;0;1797,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;2;Liquida;0;12406,8;0;1646,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;3;Liquida;0;12314,4;0;1625,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;4;Liquida;0;12373,2;0;1688,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;5;Liquida;0;12524,4;0;1751,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;6;Liquida;0;12843,6;0;1852,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;7;Liquida;0;12612,6;0;1692,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;8;Liquida;0;12570,6;0;1453,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;9;Liquida;0;13104;0;1688,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;10;Liquida;0;13238,4;0;1705,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;11;Liquida;0;13402,2;0;1810,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;12;Liquida;0;13692;0;1881,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;13;Liquida;0;13662,6;0;1713,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;14;Liquida;0;13801,2;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;15;Liquida;0;13704,6;0;1726,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;16;Liquida;0;13524;0;1738,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;17;Liquida;0;13608;0;2003,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;18;Liquida;0;13725,6;0;2070,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;19;Liquida;0;13847,4;0;2074,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;20;Liquida;0;13679,4;0;2045,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;21;Liquida;0;13561,8;0;1969,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;22;Liquida;0;13309,8;0;1902,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;23;Liquida;0;12986,4;0;1717,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;24;Liquida;0;12608,4;0;1604,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;1;Liquida;0;12201;0;1411,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;2;Liquida;0;12066,6;0;1323;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;3;Liquida;0;11936,4;0;1281;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;4;Liquida;0;11898,6;0;1310,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;5;Liquida;0;12096;0;1432,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;6;Liquida;0;12390;0;1486,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;7;Liquida;0;12142,2;0;1318,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;8;Liquida;0;11550;0;903;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;9;Liquida;0;11965,8;0;1108,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;10;Liquida;0;12222;0;1146,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;11;Liquida;0;12343,8;0;1176;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;12;Liquida;0;12289,2;0;1281;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;13;Liquida;0;12280,8;0;1197;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;14;Liquida;0;12335,4;0;1218;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;15;Liquida;0;12213,6;0;1159,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;16;Liquida;0;12180;0;1163,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;17;Liquida;0;12293,4;0;1222,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;18;Liquida;0;12566,4;0;1352,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;19;Liquida;0;12952,8;0;1726,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;20;Liquida;0;12885,6;0;1772,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;21;Liquida;0;12768;0;1671,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;22;Liquida;0;12444,6;0;1537,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;23;Liquida;0;12066,6;0;1339,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;05/09/2019;24;Liquida;0;11869,2;0;1268,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;1;Liquida;0;11604,6;0;1146,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;2;Liquida;0;11436,6;0;1104,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;3;Liquida;0;11419,8;0;1113;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;4;Liquida;0;11306,4;0;1008;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;5;Liquida;0;11587,8;0;1129,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;6;Liquida;0;11739;0;1184,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;7;Liquida;0;11407,2;0;890,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;8;Liquida;0;11230,8;0;693;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;9;Liquida;0;11583,6;0;882;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;10;Liquida;0;11722,2;0;877,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;06/09/2019;11;Liquida;0;11839,8;0;966;0;Hora Completa Consistente;Consistido
